iter	MultiClass
0	1.320941704
1	1.266879085
2	1.215839206
3	1.173114019
4	1.132860169
5	1.095363909
6	1.064802902
7	1.036516067
8	1.010966985
9	0.9858163976
10	0.9617261464
11	0.9401792375
12	0.9210161906
13	0.902094532
14	0.8846204046
15	0.8668405331
16	0.8526259489
17	0.8373055681
18	0.8229825645
19	0.8105210424
20	0.7992467126
21	0.7891954141
22	0.7774824901
23	0.766752649
24	0.7574522389
25	0.7483818453
26	0.7380231813
27	0.7289568053
28	0.7215237106
29	0.7146394359
30	0.7074109469
31	0.7013777133
32	0.6946137763
33	0.6888890149
34	0.6829449088
35	0.6770546451
36	0.6715421783
37	0.6662250622
38	0.6618162323
39	0.657082881
40	0.6519214147
41	0.6476982343
42	0.6436498316
43	0.6402582377
44	0.6364573396
45	0.6326370907
46	0.6286144114
47	0.6252245532
48	0.6215857663
49	0.6179757444
50	0.614537623
51	0.6110978967
52	0.6078578272
53	0.6047059021
54	0.602129351
55	0.5993001743
56	0.5968806033
57	0.5940010146
58	0.5911741403
59	0.5891365109
60	0.5863826374
61	0.5842300144
62	0.5820482215
63	0.5803855902
64	0.5786084976
65	0.5761210613
66	0.5735889932
67	0.5717089604
68	0.5696765856
69	0.5682952673
70	0.5659691673
71	0.563962233
72	0.5618420092
73	0.5598891002
74	0.5580167341
75	0.5561883597
76	0.5545116927
77	0.5528021612
78	0.5505480577
79	0.5490645731
80	0.5474175006
81	0.5460442463
82	0.5447201511
83	0.5430701085
84	0.5411478579
85	0.5400756245
86	0.5386452485
87	0.5374812932
88	0.5364156078
89	0.5353790999
90	0.5335945082
91	0.5316130412
92	0.5300166939
93	0.5290715581
94	0.5282430537
95	0.5268272298
96	0.524576521
97	0.5234958775
98	0.5212006223
99	0.5201896234
100	0.5191062219
101	0.5177847927
102	0.5163121882
103	0.5145702889
104	0.513177336
105	0.5124284774
106	0.5115593512
107	0.5106670937
108	0.5093074018
109	0.5078238518
110	0.5065908407
111	0.5049836204
112	0.5041697867
113	0.5028842056
114	0.5015271172
115	0.5006347099
116	0.4994274197
117	0.4982356965
118	0.4972940401
119	0.4959832329
120	0.4947234261
121	0.4937368944
122	0.4927914382
123	0.4920752044
124	0.4914766399
125	0.4906155882
126	0.4894727952
127	0.4885911483
128	0.4873143026
129	0.4863358188
130	0.4853986538
131	0.484396575
132	0.4835434345
133	0.482550366
134	0.481900588
135	0.4806815438
136	0.479583807
137	0.4789532288
138	0.4778407834
139	0.4768534397
140	0.4760555364
141	0.4753470266
142	0.4746664704
143	0.4738947735
144	0.4728600389
145	0.4719044203
146	0.4710508257
147	0.4702111582
148	0.4692234798
149	0.4684397568
150	0.4676830879
151	0.4670228027
152	0.4664241807
153	0.4652806559
154	0.464279594
155	0.4632020345
156	0.4623914028
157	0.4614464678
158	0.4604200795
159	0.4591255896
160	0.4586094795
161	0.4576771228
162	0.4566375693
163	0.4557827836
164	0.4549295203
165	0.4542333429
166	0.4535046963
167	0.4526893098
168	0.4516715741
169	0.4510944698
170	0.4505155094
171	0.4498098391
172	0.4492658572
173	0.4484521127
174	0.4477215058
175	0.447083059
176	0.4464678106
177	0.4458504398
178	0.4450031702
179	0.4442451889
180	0.4433243063
181	0.4423156645
182	0.4415679294
183	0.4409038308
184	0.4400199578
185	0.4389855656
186	0.4380888109
187	0.4375320602
188	0.4366815641
189	0.4360945342
190	0.4355809295
191	0.434852347
192	0.434144771
193	0.4331447026
194	0.4322625302
195	0.4317960094
196	0.431285698
197	0.4305050605
198	0.42955715
199	0.4288479947
200	0.4281771536
201	0.4276964094
202	0.4270612792
203	0.4262344364
204	0.4254983319
205	0.4245597881
206	0.4240240342
207	0.4234468133
208	0.4225542862
209	0.4217043964
210	0.4210318099
211	0.4201982128
212	0.4194884543
213	0.4185840147
214	0.4175454367
215	0.4169186547
216	0.4161129429
217	0.4156887294
218	0.4150849202
219	0.4146223899
220	0.4140770866
221	0.4129794034
222	0.4122867345
223	0.4117607479
224	0.4109188144
225	0.410062478
226	0.4093993667
227	0.4088665457
228	0.4080124064
229	0.4075757886
230	0.4071470703
231	0.4064170021
232	0.4057708452
233	0.405490181
234	0.4048837819
235	0.4042359967
236	0.4038028273
237	0.403221291
238	0.4028135555
239	0.4023528595
240	0.4018460982
241	0.4014021292
242	0.4010613621
243	0.4001488869
244	0.3994353773
245	0.3989345576
246	0.3982795453
247	0.3977984239
248	0.3968751521
249	0.3962326792
250	0.3954374028
251	0.3948388432
252	0.394236528
253	0.3937245341
254	0.3930133712
255	0.392395286
256	0.3913628185
257	0.3907459821
258	0.3898821791
259	0.3890520629
260	0.3886060486
261	0.3882354018
262	0.3877523492
263	0.3872678344
264	0.3869125364
265	0.3863522159
266	0.3860065105
267	0.3852391516
268	0.3845334287
269	0.3839822356
270	0.3833432527
271	0.3827251255
272	0.3821901838
273	0.3815795023
274	0.3809374173
275	0.3804508738
276	0.3800014838
277	0.3793333074
278	0.3787837528
279	0.3783573287
280	0.3777651074
281	0.3774297773
282	0.3770203493
283	0.376470939
284	0.3756144655
285	0.3749261642
286	0.3740969789
287	0.3735308457
288	0.3731199807
289	0.3725732399
290	0.3720508475
291	0.371627275
292	0.3710490529
293	0.3705285341
294	0.3700370462
295	0.369721452
296	0.3690053909
297	0.3683634967
298	0.3679277839
299	0.3673030493
300	0.3669185531
