iter	MultiClass
301	0.366483587
302	0.3659805703
303	0.3655861108
304	0.3648719012
305	0.3643016268
306	0.3638691889
307	0.3633799368
308	0.3626037792
309	0.3620569036
310	0.3612382938
311	0.360701385
312	0.3601315882
313	0.3595974722
314	0.3589596964
315	0.3585878869
316	0.3581634957
317	0.357615766
318	0.3571220782
319	0.3564936376
320	0.3558098621
321	0.3549264832
322	0.3542104898
323	0.3537027685
324	0.3533225868
325	0.3526270344
326	0.3519448324
327	0.3515297531
328	0.351057253
329	0.3504392188
330	0.3500999584
331	0.3496746441
332	0.3490385565
333	0.3485166475
334	0.3479504604
335	0.347555105
336	0.3467505142
337	0.3462852485
338	0.3457592406
339	0.3454258724
340	0.3448944717
341	0.3444048061
342	0.3438936366
343	0.3433839496
344	0.3429126546
345	0.3424780671
346	0.3419934916
347	0.3414568956
348	0.3407184239
349	0.3402686504
350	0.3399429009
351	0.339325309
352	0.3389779811
353	0.3383994019
354	0.3381515623
355	0.3376931236
356	0.3370600684
357	0.336682247
358	0.3360067247
359	0.3354540608
360	0.3349379255
361	0.3345890174
362	0.3342323732
363	0.3336368642
364	0.3331014042
365	0.3326051953
366	0.3321876908
367	0.3317549606
368	0.3313462357
369	0.3308635749
370	0.3304239969
371	0.3299220199
372	0.3294875714
373	0.3290130237
374	0.3283120799
375	0.3279791218
376	0.3273437753
377	0.3267813672
378	0.326532113
379	0.3261063645
380	0.3257224901
381	0.3251833741
382	0.3247732252
383	0.3242629354
384	0.3239610102
385	0.3237098751
386	0.3233998694
387	0.3228988379
388	0.3223487214
389	0.3217991182
390	0.3214573106
391	0.3209165015
392	0.320480017
393	0.3201040582
394	0.3195681211
395	0.3188417804
396	0.3184309386
397	0.3179953825
398	0.3175108788
399	0.3171095479
400	0.3168794618
401	0.3164277419
402	0.3159677925
403	0.3155327079
404	0.3151232893
405	0.3146332849
406	0.3143646606
407	0.3137513509
408	0.3134669352
409	0.3128821399
410	0.3124397015
411	0.3122603628
412	0.3118956055
413	0.3117169511
414	0.3112008572
415	0.3108541726
416	0.3104365052
417	0.3098600312
418	0.3095915996
419	0.3091341097
420	0.3086947191
421	0.3082877261
422	0.3079733286
423	0.3076247232
424	0.3072344165
425	0.306875604
426	0.3065062713
427	0.3058952035
428	0.3056113175
429	0.3054002694
430	0.3050825937
431	0.3048313624
432	0.3043826361
433	0.3039667529
434	0.3033937776
435	0.3030811927
436	0.302612845
437	0.3023743582
438	0.3018961691
439	0.3016649693
440	0.30128259
441	0.300874699
442	0.300468237
443	0.3001048414
444	0.2997866684
445	0.2994054145
446	0.2991151107
447	0.2987020225
448	0.2984220853
449	0.2981252018
450	0.297754841
451	0.2973670893
452	0.2970511952
453	0.2966571772
454	0.2962586865
455	0.2959888429
456	0.2958390125
457	0.2953141678
458	0.2948440974
459	0.2946280093
460	0.2942655172
461	0.2938929955
462	0.2933551516
463	0.2930339462
464	0.2927149704
465	0.2923580198
466	0.2920927444
467	0.2916900676
468	0.2912814135
469	0.2907390454
470	0.2903354068
471	0.2900227129
472	0.2897206465
473	0.2893641963
474	0.2889084943
475	0.2884578054
476	0.2880052655
477	0.2877342333
478	0.2875338365
479	0.2871305547
480	0.2868649315
481	0.2863639346
482	0.2860151953
483	0.2855448583
484	0.2851724901
485	0.28497491
486	0.284626429
487	0.2841804965
488	0.2838396179
489	0.2833677693
490	0.2831419967
491	0.2828403715
492	0.2824779247
493	0.28225986
494	0.2819247892
495	0.2816985808
496	0.2812860383
497	0.2809328814
498	0.2804778518
499	0.2801361611
500	0.2797013553
501	0.2792320026
502	0.279107603
503	0.2786638162
504	0.2783557443
505	0.2780979382
506	0.2776783624
507	0.2774211875
508	0.2772407811
509	0.2768900306
510	0.2764048615
511	0.2761822844
512	0.2757501199
513	0.2755724755
514	0.2752221216
515	0.2746602909
516	0.2741967433
517	0.2737572271
518	0.2733772014
519	0.2729147848
520	0.2726453631
521	0.2724426857
522	0.2721680102
523	0.2718469188
524	0.2714093518
525	0.271081004
526	0.2707548187
527	0.2705177651
528	0.2701958982
529	0.2699448635
530	0.2695571425
531	0.2692080405
532	0.2690029623
533	0.2687344628
534	0.2683999131
535	0.2679280755
536	0.2677251882
537	0.2674919363
538	0.2671460273
539	0.266833477
540	0.2663980504
541	0.2661593166
542	0.2659286783
543	0.2658067714
544	0.2655771893
545	0.2651133709
546	0.2645487392
547	0.2640788683
548	0.2637173486
549	0.2635308593
550	0.2631211651
551	0.2626987931
552	0.2622051786
553	0.2618551186
554	0.2616175753
555	0.2613461569
556	0.2608136316
557	0.2603942008
558	0.2600173309
559	0.2596022824
560	0.2593659346
561	0.2589239388
562	0.2587408129
563	0.2583686425
564	0.2581388453
565	0.2579062224
566	0.2576769298
567	0.2573663215
568	0.2570478581
569	0.25670636
570	0.2564470679
571	0.2561557334
572	0.2559568072
573	0.2558204312
574	0.2555619257
575	0.2553801003
576	0.2548349683
577	0.2546348732
578	0.2543799142
579	0.2537824957
580	0.2534680912
581	0.2532329038
582	0.252761897
583	0.2524415623
584	0.2521617455
585	0.2519946284
586	0.2516686421
587	0.251406771
588	0.2511398261
589	0.2507727447
590	0.2504491253
591	0.2502455004
592	0.249997039
593	0.2494933582
594	0.249248432
595	0.2489614518
596	0.2485925283
597	0.2482403754
598	0.247831786
599	0.2474810207
600	0.247328187
601	0.2469248037
602	0.2466441781
603	0.2464021724
604	0.2459262065
605	0.2456289595
606	0.2452125948
607	0.2450290799
608	0.2446361793
609	0.2443315686
610	0.2441088903
611	0.2436725453
612	0.2434879036
613	0.2432317225
614	0.2429142179
615	0.2425844791
616	0.2423011137
617	0.2420325959
618	0.2416657496
619	0.2414381763
620	0.2410683085
621	0.2409011837
622	0.2405837378
623	0.2401214549
624	0.2397926773
625	0.2393180502
626	0.2392422924
627	0.2388982047
628	0.238629677
629	0.2383887405
630	0.2381510209
631	0.2379255649
632	0.237581302
633	0.2373129731
634	0.2370615205
635	0.2368204547
636	0.236686793
637	0.2363476999
638	0.2361542189
639	0.2357308905
640	0.2354579127
641	0.2352067029
642	0.2348488124
643	0.2346062756
644	0.2343998682
645	0.2342157927
646	0.2339997754
647	0.2337705478
648	0.2334537206
649	0.2332790147
650	0.2330361424
651	0.2327403305
652	0.2324545207
653	0.2321811395
654	0.2319896897
655	0.2316341173
656	0.2313620606
657	0.2310325576
658	0.2307584158
659	0.2304905971
660	0.2302415621
661	0.22994806
662	0.2296788016
663	0.2295375559
664	0.229216237
665	0.2289876832
666	0.2286132936
667	0.2283389149
668	0.2278213656
669	0.2274171551
670	0.227064184
671	0.2268896793
672	0.2266504648
673	0.2264611843
674	0.2262300919
675	0.2259898648
676	0.2258233694
677	0.2257341118
678	0.2255036562
679	0.2253348027
680	0.2252260705
681	0.2250441867
682	0.2248295663
683	0.2244906414
684	0.224249853
685	0.2237583254
686	0.22351523
687	0.2232872194
688	0.2230754683
689	0.2228881524
690	0.2227062522
691	0.2223112534
692	0.2221407277
693	0.2220000069
694	0.2217150298
695	0.22149363
696	0.2212577295
697	0.2210402269
698	0.2209005306
699	0.2206696625
700	0.2204064173
701	0.2200865808
702	0.2198937124
703	0.2196143368
704	0.2193916273
705	0.2192709559
706	0.2190339061
707	0.2188167166
708	0.2185596642
709	0.2183680162
710	0.218050248
711	0.217810635
712	0.2176493861
713	0.2174663799
714	0.2172401436
715	0.217100694
716	0.2168842247
717	0.2167508793
718	0.2165042882
719	0.2163114821
720	0.2161095185
721	0.2158560477
722	0.2155897636
723	0.215459407
724	0.215304582
725	0.2151762779
726	0.2148586445
727	0.2145466479
728	0.214372495
729	0.2142061329
730	0.2140152283
731	0.2137789192
732	0.2134354847
733	0.2132052766
734	0.2129493383
735	0.2128138345
736	0.2125921478
737	0.2123982954
738	0.2122618457
739	0.2120835761
740	0.2118711331
741	0.211540956
742	0.2114439214
743	0.2112199969
744	0.2108534158
745	0.2106967669
746	0.2104216655
747	0.2102023473
748	0.2100759125
749	0.2098618
750	0.2096739382
751	0.2094800511
752	0.2091785579
753	0.2088860022
754	0.2085553976
755	0.2083342632
756	0.2080897188
757	0.2078380487
758	0.2077532155
759	0.2075367213
760	0.2073488768
761	0.2070827386
762	0.2069908617
763	0.206837898
764	0.2065452742
765	0.2063700745
766	0.2060647147
767	0.2058559358
768	0.2055163508
769	0.2051689791
770	0.2049729792
771	0.2048646484
772	0.2046361007
773	0.2043996242
774	0.204135847
775	0.2038199874
776	0.2036218288
777	0.2035311972
778	0.2033544661
779	0.2030405214
780	0.2027857409
781	0.202606281
782	0.2024243992
783	0.2021372854
784	0.2018870428
785	0.2016148773
786	0.2013564966
787	0.2012185465
788	0.2009990158
789	0.2007866792
790	0.2005861268
791	0.2002533075
792	0.2000582733
793	0.1997327858
794	0.1994381745
795	0.1992252515
796	0.1991125462
797	0.1989150993
798	0.1987259213
799	0.1984537013
